Question ID,Category,Difficulty,Question,Rank,Retrieved PDF,Relevant
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,5,Rice.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,1,Weed-management-in-rice-.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,5,cultivation_irri.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,4,diseases_of_rice.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,1,irri_diseases.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,3,manual_on_rice_cultivation_Mozambique.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,4,nutrient_management_manual.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,3,pests_irri.pdf,0
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,3,rice_cultivation.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,2,1-FERTILIZING 00.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,1,12-Steps-Required-for-Successful-Rice-Production.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,5,2-6-Diseases-of-Rice.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,1,Paddy.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,4,Rice.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,2,diseases_of_rice.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,1,irri_diseases.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,5,nutrient_management_manual.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,5,pest_control.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,3,pests_irri.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,3,rice_cultivation.pdf,1
7,Diseases,Medium,How can bacterial leaf blight be controlled?,4,rice_varieties.pdf,0
8,Diseases,Medium,Which environmental conditions favor blast disease?,1,12-Steps-Required-for-Successful-Rice-Production.pdf,0
8,Diseases,Medium,Which environmental conditions favor blast disease?,3,2-6-Diseases-of-Rice.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,5,Rice.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,2,Weed-management-in-rice-.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,4,diseases_of_rice.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,3,irri_diseases.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,4,nutrient_management_manual.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,5,pest_control.pdf,0
8,Diseases,Medium,Which environmental conditions favor blast disease?,2,pests_irri.pdf,1
8,Diseases,Medium,Which environmental conditions favor blast disease?,5,rice_cultivation.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,1,12-Steps-Required-for-Successful-Rice-Production.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,3,2-6-Diseases-of-Rice.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,4,Weed-management-in-rice-.pdf,0
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,5,Weed_control.pdf,0
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,3,irri_diseases.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,2,manual_on_rice_cultivation_Mozambique.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,2,pest_control.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,4,pests_irri.pdf,1
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,3,rice_cultivation.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,2,1-FERTILIZING 00.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,2,2-6-Diseases-of-Rice.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,4,diseases_of_rice.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,1,irri_diseases.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,4,nutrient_management_manual.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,4,pest_control.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,5,pests_irri.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,3,rice_cultivation.pdf,1
10,Diseases,Medium,How should infected rice plants be managed?,1,rice_varieties.pdf,0
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,2-6-Diseases-of-Rice.pdf,1
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,Paddy.pdf,1
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,3,diseases_of_rice.pdf,1
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,indian_rice_varieties.pdf,0
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,4,irri_diseases.pdf,1
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,5,irrigation manual.pdf,0
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,3,manual_on_rice_cultivation_Mozambique.pdf,1
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,2,pest_control.pdf,0
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,pests_irri.pdf,0
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,5,rice_cultivation.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,1,1-FERTILIZING 00.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,5,12-Steps-Required-for-Successful-Rice-Production.pdf,0
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,4,2-6-Diseases-of-Rice.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,2,diseases_of_rice.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,1,irri_diseases.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,4,nutrient_management_manual.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,5,pest_control.pdf,1
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,3,pests_irri.pdf,0
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,5,rice_cultivation.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,1,1-FERTILIZING 00.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,3,12-Steps-Required-for-Successful-Rice-Production.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,4,2-6-Diseases-of-Rice.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,5,MODUL PADDY FERTILIZATION  IRRIGATION.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,3,Weed-management-in-rice-.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,1,diseases_of_rice.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,2,irri_diseases.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,4,irrigation manual.pdf,0
13,Diseases,Hard,Explain integrated disease management practices for paddy.,5,manual_on_rice_cultivation_Mozambique.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,1,nutrient_management_manual.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,2,pest_control.pdf,1
13,Diseases,Hard,Explain integrated disease management practices for paddy.,2,pests_irri.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,5,1-FERTILIZING 00.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,3,irrigation manual.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,2,manual_on_rice_cultivation_Mozambique.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,4,nutrient_management_manual.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,2,pest_control.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,1,pests_irri.pdf,1
14,Pests,Easy,What are the major insect pests of rice?,3,rice_cultivation.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,4,AGRICULTURE AND IRRIGATION.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,5,Nutrient_management.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,2,Rice.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,3,diseases_of_rice.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,2,irri_diseases.pdf,0
15,Pests,Easy,How can brown planthopper be identified?,3,manual_on_rice_cultivation_Mozambique.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,1,pest_control.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,1,pests_irri.pdf,1
15,Pests,Easy,How can brown planthopper be identified?,3,pests_of_paddy.pdf,1
16,Pests,Easy,Which pest causes dead hearts in rice?,1,1-FERTILIZING 00.pdf,1
16,Pests,Easy,Which pest causes dead hearts in rice?,4,Rice.pdf,1
16,Pests,Easy,Which pest causes dead hearts in rice?,3,irri_diseases.pdf,1
16,Pests,Easy,Which pest causes dead hearts in rice?,5,irrigation manual.pdf,0
16,Pests,Easy,Which pest causes dead hearts in rice?,2,nutrient_management_manual.pdf,0
16,Pests,Easy,Which pest causes dead hearts in rice?,4,pest_control.pdf,1
16,Pests,Easy,Which pest causes dead hearts in rice?,2,pests_irri.pdf,1
16,Pests,Easy,Which pest causes dead hearts in rice?,1,rice_cultivation.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,5,AGRICULTURE AND IRRIGATION.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,3,Rice.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,3,irri_diseases.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,1,irrigation manual.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,2,manual_on_rice_cultivation_Mozambique.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,3,pest_control.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,1,pests_irri.pdf,1
17,Pests,Easy,What damage is caused by stem borers?,2,rice_cultivation.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,4,1-FERTILIZING 00.pdf,0
18,Pests,Easy,How can leaf folder infestation be recognized?,3,2-6-Diseases-of-Rice.pdf,0
18,Pests,Easy,How can leaf folder infestation be recognized?,1,Weed-management-in-rice-.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,4,diseases_of_rice.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,2,irri_diseases.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,5,irrigation manual.pdf,0
18,Pests,Easy,How can leaf folder infestation be recognized?,2,manual_on_rice_cultivation_Mozambique.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,4,pest_control.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,1,pests_irri.pdf,1
18,Pests,Easy,How can leaf folder infestation be recognized?,5,pests_of_paddy.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,3,1-FERTILIZING 00.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,4,2-6-Diseases-of-Rice.pdf,0
19,Pests,Medium,How can brown planthopper be controlled?,5,Rice.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,1,Weed_control.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,3,diseases_of_rice.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,4,irrigation manual.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,5,manual_on_rice_cultivation_Mozambique.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,3,pest_control.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,2,pests_irri.pdf,1
19,Pests,Medium,How can brown planthopper be controlled?,1,pests_of_paddy.pdf,1
20,Pests,Medium,What integrated pest management practices are recommended for rice?,3,1-FERTILIZING 00.pdf,1
20,Pests,Medium,What integrated pest management practices are recommended for rice?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
20,Pests,Medium,What integrated pest management practices are recommended for rice?,2,irrigation manual.pdf,1
20,Pests,Medium,What integrated pest management practices are recommended for rice?,1,manual_on_rice_cultivation_Mozambique.pdf,1
20,Pests,Medium,What integrated pest management practices are recommended for rice?,1,pest_control.pdf,1
20,Pests,Medium,What integrated pest management practices are recommended for rice?,3,pests_irri.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,3,1-FERTILIZING 00.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,5,Weed-management-in-rice-.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,4,manual_on_rice_cultivation_Mozambique.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,1,nutrient_management_manual.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,2,pest_control.pdf,1
21,Pests,Medium,Which biological methods are used to control rice pests?,1,pests_irri.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,5,2-6-Diseases-of-Rice.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,5,Paddy.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,4,Rice.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,1,Weed-management-in-rice-.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,3,irri_diseases.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,3,irrigation manual.pdf,0
22,Pests,Medium,How can stem borer infestation be prevented?,2,nutrient_management_manual.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,3,pest_control.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,1,pests_irri.pdf,1
22,Pests,Medium,How can stem borer infestation be prevented?,2,rice_cultivation.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,5,AGRICULTURE AND IRRIGATION.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,4,Rice.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,4,irrigation manual.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,2,nutrient_management_manual.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,2,pest_control.pdf,1
23,Pests,Medium,When should insecticides be applied for rice pests?,1,pests_irri.pdf,1
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,4,2-6-Diseases-of-Rice.pdf,0
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,5,Weed-management-in-rice-.pdf,1
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,1,irrigation manual.pdf,1
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,2,manual_on_rice_cultivation_Mozambique.pdf,1
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,1,pest_control.pdf,1
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,1,pests_irri.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,3,12-Steps-Required-for-Successful-Rice-Production.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,5,cultivation_irri.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,4,irrigation manual.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,1,manual_on_rice_cultivation_Mozambique.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,1,pest_control.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,2,pests_irri.pdf,1
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,3,rice_cultivation.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,1,1-FERTILIZING 00.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,4,2-6-Diseases-of-Rice.pdf,0
26,Cultivation,Easy,What are the major stages of rice cultivation?,2,AGRICULTURE AND IRRIGATION.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,3,MODUL PADDY FERTILIZATION  IRRIGATION.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,4,Rice.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,5,Weed-management-in-rice-.pdf,0
26,Cultivation,Easy,What are the major stages of rice cultivation?,1,manual_on_rice_cultivation_Mozambique.pdf,1
26,Cultivation,Easy,What are the major stages of rice cultivation?,3,pest_control.pdf,0
26,Cultivation,Easy,What are the major stages of rice cultivation?,5,pests_irri.pdf,0
27,Cultivation,Easy,How should land be prepared before sowing rice?,2,1-FERTILIZING 00.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,3,12-Steps-Required-for-Successful-Rice-Production.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,2,Rice.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,1,Weed-management-in-rice-.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,4,cultivation_irri.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,3,diseases_of_rice.pdf,0
27,Cultivation,Easy,How should land be prepared before sowing rice?,4,irrigation manual.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,5,manual_on_rice_cultivation_Mozambique.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,5,nutrient_management_manual.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,4,pest_control.pdf,1
27,Cultivation,Easy,How should land be prepared before sowing rice?,1,rice_cultivation.pdf,1
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,4,12-Steps-Required-for-Successful-Rice-Production.pdf,1
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,4,Nutrient_management.pdf,0
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,1,Rice.pdf,1
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,2,cultivation_irri.pdf,1
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,3,diseases_of_rice.pdf,0
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,5,irrigation manual.pdf,1
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,5,manual_on_rice_cultivation_Mozambique.pdf,1
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,2,nutrient_management_manual.pdf,0
28,Cultivation,Easy,What is the recommended method for transplanting rice seedlings?,3,rice_cultivation.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,5,12-Steps-Required-for-Successful-Rice-Production.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,5,2-6-Diseases-of-Rice.pdf,0
29,Cultivation,Easy,What spacing should be maintained between rice plants?,4,Nutrient_management.pdf,0
29,Cultivation,Easy,What spacing should be maintained between rice plants?,2,Rice.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,4,Weed-management-in-rice-.pdf,0
29,Cultivation,Easy,What spacing should be maintained between rice plants?,4,cultivation_irri.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,5,irrigation manual.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,3,manual_on_rice_cultivation_Mozambique.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,1,nutrient_management_manual.pdf,0
29,Cultivation,Easy,What spacing should be maintained between rice plants?,2,pest_control.pdf,0
29,Cultivation,Easy,What spacing should be maintained between rice plants?,4,pests_irri.pdf,1
29,Cultivation,Easy,What spacing should be maintained between rice plants?,1,rice_cultivation.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,3,12-Steps-Required-for-Successful-Rice-Production.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,5,AGRICULTURE AND IRRIGATION.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,2,MODUL PADDY FERTILIZATION  IRRIGATION.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,4,Rice.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,2,cultivation_irri.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,5,indian_rice_varieties.pdf,0
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,1,irrigation manual.pdf,0
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,3,manual_on_rice_cultivation_Mozambique.pdf,1
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,3,pest_control.pdf,0
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,4,pests_irri.pdf,0
30,Cultivation,Easy,What is the ideal age of seedlings for transplanting?,1,rice_cultivation.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,2,1-FERTILIZING 00.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,1,12-Steps-Required-for-Successful-Rice-Production.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,4,MODUL PADDY FERTILIZATION  IRRIGATION.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,5,Paddy.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,3,Rice.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,4,Weed-management-in-rice-.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,2,cultivation_irri.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,5,irrigation manual.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,4,manual_on_rice_cultivation_Mozambique.pdf,1
31,Cultivation,Easy,How much water is required during the vegetative stage of rice?,4,nutrient_management_manual.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,1,1-FERTILIZING 00.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,3,2-6-Diseases-of-Rice.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,2,MODUL PADDY FERTILIZATION  IRRIGATION.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,2,Nutrient_management.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,3,Paddy.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,5,Rice.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,4,irrigation manual.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,1,manual_on_rice_cultivation_Mozambique.pdf,1
32,Cultivation,Easy,What are the different methods of rice cultivation?,4,pest_control.pdf,0
32,Cultivation,Easy,What are the different methods of rice cultivation?,5,pests_irri.pdf,0
